MicrotypeID,PerStartCost,PerEndCost,PerMileCost,VehicleSize,SpeedInMetersPerSecond
A_1,0,2.338942815,0.10881138,0.2,1.4
A_2,0,0.470095973,0.10500373,0.2,1.4
A_3,0,0.560803006,0.10584473,0.2,1.4
A_4,0,0.184312811,0.105508,0.2,1.4
A_5,0,0.172594927,0.10469785,0.2,1.4
A_6,0,0.470108538,0.10355991,0.2,1.4
B_1,0,0.389860396,0.10822449,0.2,1.4
B_2,0,0.151985857,0.11051256,0.2,1.4
B_3,0,0.184001052,0.10938665,0.2,1.4
B_4,0,0.027099476,0.10822693,0.2,1.4
B_5,0,0.043868909,0.11036278,0.2,1.4
B_6,0,0.002273159,0.10891301,0.2,1.4
C_1,0,0.23162519,0.10638428,0.2,1.4
C_2,0,0.115694179,0.10751325,0.2,1.4
C_3,0,0.093481815,0.10684437,0.2,1.4
C_4,0,0.023814769,0.1058705,0.2,1.4
C_5,0,0.017251424,0.10783072,0.2,1.4
C_6,0,0.006174887,0.10916019,0.2,1.4
