cost_group,f_sys,MicrotypeID,fsys_weight,microtype,Location,Functional Class,Category,Resurface Existing Lane (RESURFACING),"Add Lane, If No Obstacles (Normal Cost)","Add Lane, If Obstacle Code A",cost_class,restripe,add_obsA,add_noobs,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,
7,1,A_1,0.023434171,1,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,686908.0256,9379566.408,0.078109143
7,2,A_1,0.021109766,1,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,686908.0256,9379566.408,0.078109143
7,3,A_1,0.329900193,1,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,686908.0256,9379566.408,0.078109143
7,4,A_1,0.357283334,1,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,686908.0256,9379566.408,0.078109143
7,5,A_1,0.266103468,1,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,686908.0256,9379566.408,0.078109143
7,6,A_1,0.002153151,1,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,686908.0256,9379566.408,0.078109143
7,7,A_1,1.59E-05,1,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,686908.0256,9379566.408,0.078109143
7,1,A_2,0.014662574,2,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,681127.8278,9315888.127,0.07745187
7,2,A_2,0.019133018,2,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,681127.8278,9315888.127,0.07745187
7,3,A_2,0.309757278,2,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,681127.8278,9315888.127,0.07745187
7,4,A_2,0.362802102,2,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,681127.8278,9315888.127,0.07745187
7,5,A_2,0.288077845,2,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,681127.8278,9315888.127,0.07745187
7,6,A_2,0.005548763,2,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,681127.8278,9315888.127,0.07745187
7,7,A_2,1.84E-05,2,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,681127.8278,9315888.127,0.07745187
7,1,A_3,0.337815176,3,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,757005.2589,10169245.03,0.086079985
7,2,A_3,0.200458757,3,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,757005.2589,10169245.03,0.086079985
7,3,A_3,0.135338712,3,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,757005.2589,10169245.03,0.086079985
7,4,A_3,0.190862844,3,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,757005.2589,10169245.03,0.086079985
7,5,A_3,0.130867347,3,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,757005.2589,10169245.03,0.086079985
7,6,A_3,0.004518536,3,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,757005.2589,10169245.03,0.086079985
7,7,A_3,0.000138629,3,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,757005.2589,10169245.03,0.086079985
7,1,A_4,0.01372286,4,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,671716.8212,9216626.658,0.076381733
7,2,A_4,0.023713612,4,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,671716.8212,9216626.658,0.076381733
7,3,A_4,0.258355617,4,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,671716.8212,9216626.658,0.076381733
7,4,A_4,0.349608609,4,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,671716.8212,9216626.658,0.076381733
7,5,A_4,0.347390395,4,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,671716.8212,9216626.658,0.076381733
7,6,A_4,0.007114121,4,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,671716.8212,9216626.658,0.076381733
7,7,A_4,9.48E-05,4,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,671716.8212,9216626.658,0.076381733
7,1,A_5,0.011029229,5,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,628148.1191,8713710.315,0.071427483
7,2,A_5,0.005317454,5,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,628148.1191,8713710.315,0.071427483
7,3,A_5,0.163441868,5,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,628148.1191,8713710.315,0.071427483
7,4,A_5,0.280861293,5,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,628148.1191,8713710.315,0.071427483
7,5,A_5,0.270054748,5,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,628148.1191,8713710.315,0.071427483
7,6,A_5,0.26899929,5,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,628148.1191,8713710.315,0.071427483
7,7,A_5,0.000275859,5,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,628148.1191,8713710.315,0.071427483
7,1,A_6,0.044336553,6,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,670885.7008,9220039.06,0.076287225
7,2,A_6,0.021502802,6,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,670885.7008,9220039.06,0.076287225
7,3,A_6,0.263880959,6,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,670885.7008,9220039.06,0.076287225
7,4,A_6,0.261625015,6,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,670885.7008,9220039.06,0.076287225
7,5,A_6,0.392950198,6,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,670885.7008,9220039.06,0.076287225
7,6,A_6,0.015664194,6,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,670885.7008,9220039.06,0.076287225
7,7,A_6,4.03E-05,6,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,670885.7008,9220039.06,0.076287225
1,1,A_7,0.795883121,7,RURAL,Interstate,Flat,336000,1625000,4511000,rural_flat,336000,4511000,1625000,331644.2844,1610217.905,0.037711673
1,2,A_7,0.190447976,7,RURAL,Other Freeway and Expressway,Flat,316000,1557000,4254000,rural_flat,316000,4254000,1557000,331644.2844,1610217.905,0.037711673
1,3,A_7,0.013668903,7,RURAL,Other Principal Arterial,Flat,296000,1491000,4073000,rural_flat,296000,4073000,1491000,331644.2844,1610217.905,0.037711673
1,4,A_7,0,7,RURAL,Minor Arterial,Flat,269000,1360000,3685000,rural_flat,269000,3685000,1360000,331644.2844,1610217.905,0.037711673
1,5,A_7,0,7,RURAL,Major Collector,Flat,240000,1228000,3382000,rural_flat,240000,3382000,1228000,331644.2844,1610217.905,0.037711673
1,6,A_7,0,7,RURAL,Minor Collector,Flat,212000,1117000,3046000,rural_flat,212000,3046000,1117000,331644.2844,1610217.905,0.037711673
1,7,A_7,0,7,RURAL,Local,Flat,192000,1043000,2808000,rural_flat,192000,2808000,1043000,331644.2844,1610217.905,0.037711673
7,1,B_1,0.038576797,1,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,684208.2181,9349512.007,0.077802145
7,2,B_1,0.01849223,1,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,684208.2181,9349512.007,0.077802145
7,3,B_1,0.286095394,1,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,684208.2181,9349512.007,0.077802145
7,4,B_1,0.372098703,1,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,684208.2181,9349512.007,0.077802145
7,5,B_1,0.281378263,1,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,684208.2181,9349512.007,0.077802145
7,6,B_1,0.003134827,1,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,684208.2181,9349512.007,0.077802145
7,7,B_1,0.000223786,1,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,684208.2181,9349512.007,0.077802145
7,1,B_2,0.017913185,2,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,680174.8536,9303552.35,0.077343506
7,2,B_2,0.01955723,2,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,680174.8536,9303552.35,0.077343506
7,3,B_2,0.287148845,2,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,680174.8536,9303552.35,0.077343506
7,4,B_2,0.381903473,2,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,680174.8536,9303552.35,0.077343506
7,5,B_2,0.289061136,2,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,680174.8536,9303552.35,0.077343506
7,6,B_2,0.004316783,2,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,680174.8536,9303552.35,0.077343506
7,7,B_2,9.93E-05,2,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,680174.8536,9303552.35,0.077343506
7,1,B_3,0.356331969,3,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,748195.5112,10076032.44,0.085078217
7,2,B_3,0.154092123,3,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,748195.5112,10076032.44,0.085078217
7,3,B_3,0.113752412,3,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,748195.5112,10076032.44,0.085078217
7,4,B_3,0.192781651,3,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,748195.5112,10076032.44,0.085078217
7,5,B_3,0.175102504,3,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,748195.5112,10076032.44,0.085078217
7,6,B_3,0.00772592,3,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,748195.5112,10076032.44,0.085078217
7,7,B_3,0.00021342,3,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,748195.5112,10076032.44,0.085078217
7,1,B_4,0.016758465,4,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,668201.4803,9178412.266,0.075981999
7,2,B_4,0.020374428,4,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,668201.4803,9178412.266,0.075981999
7,3,B_4,0.235286004,4,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,668201.4803,9178412.266,0.075981999
7,4,B_4,0.354035004,4,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,668201.4803,9178412.266,0.075981999
7,5,B_4,0.364624537,4,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,668201.4803,9178412.266,0.075981999
7,6,B_4,0.008852716,4,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,668201.4803,9178412.266,0.075981999
7,7,B_4,6.88E-05,4,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,668201.4803,9178412.266,0.075981999
5,1,B_5,0.01725186,5,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,496118.0643,5495123.534,0.056414186
5,2,B_5,0.014657172,5,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,496118.0643,5495123.534,0.056414186
5,3,B_5,0.168257105,5,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,496118.0643,5495123.534,0.056414186
5,4,B_5,0.240022311,5,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,496118.0643,5495123.534,0.056414186
5,5,B_5,0.226064427,5,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,496118.0643,5495123.534,0.056414186
5,6,B_5,0.329499823,5,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,496118.0643,5495123.534,0.056414186
5,7,B_5,0.004056571,5,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,496118.0643,5495123.534,0.056414186
1,1,B_6,0.046186645,6,RURAL,Interstate,Flat,336000,1625000,4511000,rural_flat,336000,4511000,1625000,264256.2803,1337851.066,0.030048902
1,2,B_6,0.023234334,6,RURAL,Other Freeway and Expressway,Flat,316000,1557000,4254000,rural_flat,316000,4254000,1557000,264256.2803,1337851.066,0.030048902
1,3,B_6,0.193343846,6,RURAL,Other Principal Arterial,Flat,296000,1491000,4073000,rural_flat,296000,4073000,1491000,264256.2803,1337851.066,0.030048902
1,4,B_6,0.256041881,6,RURAL,Minor Arterial,Flat,269000,1360000,3685000,rural_flat,269000,3685000,1360000,264256.2803,1337851.066,0.030048902
1,5,B_6,0.474275116,6,RURAL,Major Collector,Flat,240000,1228000,3382000,rural_flat,240000,3382000,1228000,264256.2803,1337851.066,0.030048902
1,6,B_6,0.006807781,6,RURAL,Minor Collector,Flat,212000,1117000,3046000,rural_flat,212000,3046000,1117000,264256.2803,1337851.066,0.030048902
1,7,B_6,0.000110397,6,RURAL,Local,Flat,192000,1043000,2808000,rural_flat,192000,2808000,1043000,264256.2803,1337851.066,0.030048902
5,1,C_1,0.063716324,1,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,543808.9304,6043029.683,0.061837172
5,2,C_1,0.000158184,1,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,543808.9304,6043029.683,0.061837172
5,3,C_1,0.286835377,1,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,543808.9304,6043029.683,0.061837172
5,4,C_1,0.407122137,1,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,543808.9304,6043029.683,0.061837172
5,5,C_1,0.190263401,1,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,543808.9304,6043029.683,0.061837172
5,6,C_1,0.048961419,1,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,543808.9304,6043029.683,0.061837172
5,7,C_1,0.002943153,1,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,543808.9304,6043029.683,0.061837172
5,1,C_2,0.018702969,2,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,542052.6575,6015274.104,0.061637464
5,2,C_2,0.010440819,2,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,542052.6575,6015274.104,0.061637464
5,3,C_2,0.311083192,2,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,542052.6575,6015274.104,0.061637464
5,4,C_2,0.43590329,2,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,542052.6575,6015274.104,0.061637464
5,5,C_2,0.17728931,2,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,542052.6575,6015274.104,0.061637464
5,6,C_2,0.046445903,2,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,542052.6575,6015274.104,0.061637464
5,7,C_2,0.000134518,2,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,542052.6575,6015274.104,0.061637464
5,1,C_3,0.407233293,3,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,589315.025,6630034.723,0.067011725
5,2,C_3,0.088120589,3,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,589315.025,6630034.723,0.067011725
5,3,C_3,0.122003348,3,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,589315.025,6630034.723,0.067011725
5,4,C_3,0.19100549,3,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,589315.025,6630034.723,0.067011725
5,5,C_3,0.132394094,3,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,589315.025,6630034.723,0.067011725
5,6,C_3,0.059243179,3,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,589315.025,6630034.723,0.067011725
5,7,C_3,0,3,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,589315.025,6630034.723,0.067011725
5,1,C_4,0.014350673,4,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,530501.0989,5891608.091,0.060323922
5,2,C_4,0.006987032,4,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,530501.0989,5891608.091,0.060323922
5,3,C_4,0.287578985,4,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,530501.0989,5891608.091,0.060323922
5,4,C_4,0.332400652,4,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,530501.0989,5891608.091,0.060323922
5,5,C_4,0.313853219,4,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,530501.0989,5891608.091,0.060323922
5,6,C_4,0.044829444,4,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,530501.0989,5891608.091,0.060323922
5,7,C_4,0,4,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,530501.0989,5891608.091,0.060323922
5,1,C_5,0.024400648,5,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,503980.6002,5578884.031,0.057308244
5,2,C_5,0.021044898,5,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,503980.6002,5578884.031,0.057308244
